name,province,country,country_code,latitude,longitude
Haaren,Noord-Brabant,Netherlands,NL,51.6017,5.2267
Boxmeer,Noord-Brabant,Netherlands,NL,51.6433,5.95
Cuijk,Noord-Brabant,Netherlands,NL,51.7283,5.88
Mill en Sint Hubert,Noord-Brabant,Netherlands,NL,51.6933,5.775
Grave,Noord-Brabant,Netherlands,NL,51.7583,5.7383
Land van Cuijk,Noord-Brabant,Netherlands,NL,51.7,5.85
Maashorst,Noord-Brabant,Netherlands,NL,51.7167,5.65
Loon op Zand,Noord-Brabant,Netherlands,NL,51.63,5.08
Heusden,Noord-Brabant,Netherlands,NL,51.7333,5.1333
Dongen,Noord-Brabant,Netherlands,NL,51.6267,4.9383
Gilze en Rijen,Noord-Brabant,Netherlands,NL,51.5417,4.9333
Goirle,Noord-Brabant,Netherlands,NL,51.5217,5.0683
Hilvarenbeek,Noord-Brabant,Netherlands,NL,51.4867,5.1367
Oisterwijk,Noord-Brabant,Netherlands,NL,51.58,5.1917
Alphen-Chaam,Noord-Brabant,Netherlands,NL,51.4833,4.8667
Baarle-Nassau,Noord-Brabant,Netherlands,NL,51.445,4.9306
Etten-Leur,Noord-Brabant,Netherlands,NL,51.5733,4.6383
Zundert,Noord-Brabant,Netherlands,NL,51.4717,4.6583
Rucphen,Noord-Brabant,Netherlands,NL,51.5283,4.5583
Halderberge,Noord-Brabant,Netherlands,NL,51.5667,4.55
Moerdijk,Noord-Brabant,Netherlands,NL,51.6417,4.6083
Drimmelen,Noord-Brabant,Netherlands,NL,51.6917,4.8
Geertruidenberg,Noord-Brabant,Netherlands,NL,51.7017,4.8583
Oosterhout,Noord-Brabant,Netherlands,NL,51.645,4.8617
Altena,Noord-Brabant,Netherlands,NL,51.7667,4.9667
Steenbergen,Noord-Brabant,Netherlands,NL,51.5833,4.3167
Woensdrecht,Noord-Brabant,Netherlands,NL,51.4317,4.29
Arnhem,Gelderland,Netherlands,NL,51.9851,5.8987
Nijmegen,Gelderland,Netherlands,NL,51.8425,5.8528
Apeldoorn,Gelderland,Netherlands,NL,52.2112,5.9699
Ede,Gelderland,Netherlands,NL,52.0383,5.665
Doetinchem,Gelderland,Netherlands,NL,51.965,6.2883
Harderwijk,Gelderland,Netherlands,NL,52.3417,5.62
Barneveld,Gelderland,Netherlands,NL,52.1383,5.5883
Wageningen,Gelderland,Netherlands,NL,51.9692,5.665
Zevenaar,Gelderland,Netherlands,NL,51.9283,6.0717
Zutphen,Gelderland,Netherlands,NL,52.1383,6.2
Winterswijk,Gelderland,Netherlands,NL,51.9717,6.7183
Tiel,Gelderland,Netherlands,NL,51.8833,5.4317
Culemborg,Gelderland,Netherlands,NL,51.9567,5.2283
Rheden,Gelderland,Netherlands,NL,52.0167,6.0333
Renkum,Gelderland,Netherlands,NL,51.9833,5.8167
Oosterbeek,Gelderland,Netherlands,NL,51.9867,5.84
Wageningen,Gelderland,Netherlands,NL,51.9692,5.665
Bennekom,Gelderland,Netherlands,NL,52.0017,5.6717
Veenendaal,Gelderland,Netherlands,NL,52.0283,5.5583
Rhenen,Gelderland,Netherlands,NL,51.96,5.5683
Elburg,Gelderland,Netherlands,NL,52.45,5.8333
Nunspeet,Gelderland,Netherlands,NL,52.3767,5.7867
Ermelo,Gelderland,Netherlands,NL,52.2983,5.62
Putten,Gelderland,Netherlands,NL,52.2583,5.6067
Nijkerk,Gelderland,Netherlands,NL,52.2217,5.4867
Scherpenzeel,Gelderland,Netherlands,NL,52.0833,5.4833
Woudenberg,Gelderland,Netherlands,NL,52.08,5.4167
Rozendaal,Gelderland,Netherlands,NL,52.005,5.9617
Brummen,Gelderland,Netherlands,NL,52.0917,6.1567
Voorst,Gelderland,Netherlands,NL,52.1667,6.1333
Lochem,Gelderland,Netherlands,NL,52.16,6.415
Zaltbommel,Gelderland,Netherlands,NL,51.81,5.2433
Maasdriel,Gelderland,Netherlands,NL,51.7833,5.3
Neder-Betuwe,Gelderland,Netherlands,NL,51.9167,5.5333
Buren,Gelderland,Netherlands,NL,51.9167,5.3333
West Betuwe,Gelderland,Netherlands,NL,51.8833,5.2
Lingewaard,Gelderland,Netherlands,NL,51.9,5.9333
Overbetuwe,Gelderland,Netherlands,NL,51.9167,5.8
Berg en Dal,Gelderland,Netherlands,NL,51.8167,5.9333
Heumen,Gelderland,Netherlands,NL,51.7833,5.85
Wijchen,Gelderland,Netherlands,NL,51.8067,5.725
Druten,Gelderland,Netherlands,NL,51.8833,5.6
West Maas en Waal,Gelderland,Netherlands,NL,51.8667,5.55
Montferland,Gelderland,Netherlands,NL,51.9333,6.2167
Oude IJsselstreek,Gelderland,Netherlands,NL,51.9333,6.4833
Bronckhorst,Gelderland,Netherlands,NL,52.05,6.3333
Berkelland,Gelderland,Netherlands,NL,52.1,6.5833
Oost Gelre,Gelderland,Netherlands,NL,52.0,6.5833
Aalten,Gelderland,Netherlands,NL,51.9283,6.58
Epe,Gelderland,Netherlands,NL,52.35,5.9833
Heerde,Gelderland,Netherlands,NL,52.3883,6.0417
Hattem,Gelderland,Netherlands,NL,52.475,6.0667
Oldebroek,Gelderland,Netherlands,NL,52.45,5.9
Utrecht,Utrecht,Netherlands,NL,52.0907,5.1214
Amersfoort,Utrecht,Netherlands,NL,52.1561,5.3878
Nieuwegein,Utrecht,Netherlands,NL,52.0333,5.0833
Zeist,Utrecht,Netherlands,NL,52.09,5.2333
Houten,Utrecht,Netherlands,NL,52.0283,5.1683
Veenendaal,Utrecht,Netherlands,NL,52.0283,5.5583
IJsselstein,Utrecht,Netherlands,NL,52.0233,5.0417
Woerden,Utrecht,Netherlands,NL,52.085,4.8833
De Bilt,Utrecht,Netherlands,NL,52.11,5.1783
Soest,Utrecht,Netherlands,NL,52.175,5.2917
Baarn,Utrecht,Netherlands,NL,52.2117,5.2883
Bunnik,Utrecht,Netherlands,NL,52.0667,5.1917
Bunschoten,Utrecht,Netherlands,NL,52.2417,5.3833
Leusden,Utrecht,Netherlands,NL,52.1333,5.4333
Wijk bij Duurstede,Utrecht,Netherlands,NL,51.975,5.3383
Utrechtse Heuvelrug,Utrecht,Netherlands,NL,52.05,5.3833
De Ronde Venen,Utrecht,Netherlands,NL,52.2167,4.9
Stichtse Vecht,Utrecht,Netherlands,NL,52.1833,5.0333
Montfoort,Utrecht,Netherlands,NL,52.045,4.9533
Oudewater,Utrecht,Netherlands,NL,52.025,4.8667
Lopik,Utrecht,Netherlands,NL,51.9733,4.95
Vijfheerenlanden,Utrecht,Netherlands,NL,51.95,5.0833
Zwolle,Overijssel,Netherlands,NL,52.5168,6.083
Enschede,Overijssel,Netherlands,NL,52.2215,6.8937
Deventer,Overijssel,Netherlands,NL,52.25,6.155
Hengelo,Overijssel,Netherlands,NL,52.2661,6.7936
Almelo,Overijssel,Netherlands,NL,52.3567,6.6625
Kampen,Overijssel,Netherlands,NL,52.555,5.9117
Borne,Overijssel,Netherlands,NL,52.3017,6.7483
Oldenzaal,Overijssel,Netherlands,NL,52.3117,6.9267
Rijssen-Holten,Overijssel,Netherlands,NL,52.3,6.5167
Hellendoorn,Overijssel,Netherlands,NL,52.3917,6.4417
Wierden,Overijssel,Netherlands,NL,52.3583,6.5917
Twenterand,Overijssel,Netherlands,NL,52.4333,6.6
Tubbergen,Overijssel,Netherlands,NL,52.4083,6.7833
Dinkelland,Overijssel,Netherlands,NL,52.3667,6.9667
Losser,Overijssel,Netherlands,NL,52.2617,7.0083
Haaksbergen,Overijssel,Netherlands,NL,52.1567,6.7383
Hof van Twente,Overijssel,Netherlands,NL,52.2333,6.55
Dalfsen,Overijssel,Netherlands,NL,52.5083,6.2583
Ommen,Overijssel,Netherlands,NL,52.525,6.4167
Hardenberg,Overijssel,Netherlands,NL,52.575,6.6167
Staphorst,Overijssel,Netherlands,NL,52.6417,6.2083
Zwartewaterland,Overijssel,Netherlands,NL,52.5667,6.0667
Steenwijkerland,Overijssel,Netherlands,NL,52.7833,6.0833
Raalte,Overijssel,Netherlands,NL,52.3867,6.2733
Olst-Wijhe,Overijssel,Netherlands,NL,52.3333,6.1
Maastricht,Limburg,Netherlands,NL,50.8514,5.691
Venlo,Limburg,Netherlands,NL,51.37,6.1719
Sittard-Geleen,Limburg,Netherlands,NL,50.9833,5.8667
Heerlen,Limburg,Netherlands,NL,50.8833,5.9833
Roermond,Limburg,Netherlands,NL,51.1917,5.9875
Weert,Limburg,Netherlands,NL,51.2517,5.7067
Venray,Limburg,Netherlands,NL,51.525,5.975
Kerkrade,Limburg,Netherlands,NL,50.865,6.0617
Landgraaf,Limburg,Netherlands,NL,50.8917,6.0167
Brunssum,Limburg,Netherlands,NL,50.9467,5.9717
Stein,Limburg,Netherlands,NL,50.9667,5.7667
Beek,Limburg,Netherlands,NL,50.9417,5.795
Meerssen,Limburg,Netherlands,NL,50.89,5.75
Valkenburg aan de Geul,Limburg,Netherlands,NL,50.8617,5.8283
Gulpen-Wittem,Limburg,Netherlands,NL,50.8167,5.8833
Vaals,Limburg,Netherlands,NL,50.77,6.0183
Eijsden-Margraten,Limburg,Netherlands,NL,50.7833,5.7167
Simpelveld,Limburg,Netherlands,NL,50.835,5.9833
Nuth,Limburg,Netherlands,NL,50.9167,5.8833
Schinnen,Limburg,Netherlands,NL,50.9417,5.8833
Onderbanken,Limburg,Netherlands,NL,50.9667,5.95
Peel en Maas,Limburg,Netherlands,NL,51.3333,6.0
Beesel,Limburg,Netherlands,NL,51.2683,6.0417
Leudal,Limburg,Netherlands,NL,51.25,5.9167
Maasgouw,Limburg,Netherlands,NL,51.1667,5.8833
Echt-Susteren,Limburg,Netherlands,NL,51.1,5.8667
Gennep,Limburg,Netherlands,NL,51.7,5.975
Bergen (L),Limburg,Netherlands,NL,51.6,6.0333
Mook en Middelaar,Limburg,Netherlands,NL,51.75,5.8833
Horst aan de Maas,Limburg,Netherlands,NL,51.45,6.05
Groningen,Groningen,Netherlands,NL,53.2194,6.5665
Veendam,Groningen,Netherlands,NL,53.1083,6.8783
Hoogezand-Sappemeer,Groningen,Netherlands,NL,53.1617,6.7617
Stadskanaal,Groningen,Netherlands,NL,52.9917,6.95
Winschoten,Groningen,Netherlands,NL,53.145,7.035
Delfzijl,Groningen,Netherlands,NL,53.3333,6.9167
Appingedam,Groningen,Netherlands,NL,53.3217,6.8567
Leek,Groningen,Netherlands,NL,53.1617,6.3767
Zuidhorn,Groningen,Netherlands,NL,53.245,6.4083
Marum,Groningen,Netherlands,NL,53.145,6.2617
Grootegast,Groningen,Netherlands,NL,53.21,6.2717
Haren,Groningen,Netherlands,NL,53.1717,6.6083
Ten Boer,Groningen,Netherlands,NL,53.275,6.6917
Slochteren,Groningen,Netherlands,NL,53.2167,6.8
Loppersum,Groningen,Netherlands,NL,53.3333,6.75
Bedum,Groningen,Netherlands,NL,53.3,6.6
Winsum,Groningen,Netherlands,NL,53.33,6.52
De Marne,Groningen,Netherlands,NL,53.4,6.4
Eemsmond,Groningen,Netherlands,NL,53.4167,6.75
Oldambt,Groningen,Netherlands,NL,53.15,7.0
Pekela,Groningen,Netherlands,NL,53.0833,6.9667
Bellingwedde,Groningen,Netherlands,NL,53.1167,7.1
Vlagtwedde,Groningen,Netherlands,NL,53.05,7.1
Het Hogeland,Groningen,Netherlands,NL,53.3667,6.5833
Westerkwartier,Groningen,Netherlands,NL,53.1833,6.35
Midden-Groningen,Groningen,Netherlands,NL,53.15,6.8
Eemsdelta,Groningen,Netherlands,NL,53.35,6.8333
Leeuwarden,Friesland,Netherlands,NL,53.2012,5.7999
Drachten,Friesland,Netherlands,NL,53.1117,6.0933
Sneek,Friesland,Netherlands,NL,53.0333,5.6617
Heerenveen,Friesland,Netherlands,NL,52.96,5.9233
Harlingen,Friesland,Netherlands,NL,53.175,5.4083
Franeker,Friesland,Netherlands,NL,53.1867,5.5417
Dokkum,Friesland,Netherlands,NL,53.3267,5.9983
Bolsward,Friesland,Netherlands,NL,53.0617,5.5283
Wolvega,Friesland,Netherlands,NL,52.8767,5.995
Lemmer,Friesland,Netherlands,NL,52.845,5.7083
Joure,Friesland,Netherlands,NL,52.9683,5.7917
Burgum,Friesland,Netherlands,NL,53.1917,5.9917
Grou,Friesland,Netherlands,NL,53.0933,5.8283
Workum,Friesland,Netherlands,NL,52.98,5.4433
Makkum,Friesland,Netherlands,NL,53.0567,5.4033
Stavoren,Friesland,Netherlands,NL,52.8867,5.3583
Hindeloopen,Friesland,Netherlands,NL,52.9433,5.4017
Balk,Friesland,Netherlands,NL,52.9017,5.5817
Sint Nicolaasga,Friesland,Netherlands,NL,52.92,5.735
De Lemmer,Friesland,Netherlands,NL,52.845,5.7083
Gorredijk,Friesland,Netherlands,NL,53.0083,6.0617
Oosterwolde,Friesland,Netherlands,NL,52.9933,6.2867
Kollum,Friesland,Netherlands,NL,53.2833,6.155
Damwoude,Friesland,Netherlands,NL,53.2867,6.0367
Wommels,Friesland,Netherlands,NL,53.11,5.5817
Súdwest-Fryslân,Friesland,Netherlands,NL,53.0167,5.65
De Fryske Marren,Friesland,Netherlands,NL,52.9167,5.75
Waadhoeke,Friesland,Netherlands,NL,53.2,5.5
Noardeast-Fryslân,Friesland,Netherlands,NL,53.3,6.05
Tytsjerksteradiel,Friesland,Netherlands,NL,53.2333,5.95
Smallingerland,Friesland,Netherlands,NL,53.1,6.1
Opsterland,Friesland,Netherlands,NL,53.0167,6.1
Weststellingwerf,Friesland,Netherlands,NL,52.9,6.05
Ooststellingwerf,Friesland,Netherlands,NL,52.9833,6.2833
Heerenveen,Friesland,Netherlands,NL,52.96,5.9233
Achtkarspelen,Friesland,Netherlands,NL,53.2333,6.15
Dantumadiel,Friesland,Netherlands,NL,53.2833,6.0
Schiermonnikoog,Friesland,Netherlands,NL,53.4833,6.15
Ameland,Friesland,Netherlands,NL,53.45,5.75
Terschelling,Friesland,Netherlands,NL,53.4,5.35
Vlieland,Friesland,Netherlands,NL,53.25,5.0
Assen,Drenthe,Netherlands,NL,52.9925,6.5625
Emmen,Drenthe,Netherlands,NL,52.7792,6.9
Hoogeveen,Drenthe,Netherlands,NL,52.725,6.4767
Meppel,Drenthe,Netherlands,NL,52.6958,6.1942
Coevorden,Drenthe,Netherlands,NL,52.6617,6.7417
Beilen,Drenthe,Netherlands,NL,52.8583,6.5117
Roden,Drenthe,Netherlands,NL,53.1383,6.4267
Zuidlaren,Drenthe,Netherlands,NL,53.0917,6.6833
Borger,Drenthe,Netherlands,NL,52.9217,6.795
Westerbork,Drenthe,Netherlands,NL,52.8517,6.6083
Dwingeloo,Drenthe,Netherlands,NL,52.8383,6.37
De Wolden,Drenthe,Netherlands,NL,52.7167,6.35
Midden-Drenthe,Drenthe,Netherlands,NL,52.85,6.5333
Tynaarlo,Drenthe,Netherlands,NL,53.0833,6.6167
Aa en Hunze,Drenthe,Netherlands,NL,53.0,6.75
Borger-Odoorn,Drenthe,Netherlands,NL,52.9167,6.8667
Noordenveld,Drenthe,Netherlands,NL,53.1333,6.45
Westerveld,Drenthe,Netherlands,NL,52.8333,6.2833
Middelburg,Zeeland,Netherlands,NL,51.4988,3.6136
Vlissingen,Zeeland,Netherlands,NL,51.4417,3.5708
Goes,Zeeland,Netherlands,NL,51.5042,3.8889
Terneuzen,Zeeland,Netherlands,NL,51.335,3.8283
Hulst,Zeeland,Netherlands,NL,51.28,4.0517
Sluis,Zeeland,Netherlands,NL,51.3083,3.385
Zierikzee,Zeeland,Netherlands,NL,51.65,3.9167
Tholen,Zeeland,Netherlands,NL,51.5333,4.2167
Veere,Zeeland,Netherlands,NL,51.55,3.6667
Schouwen-Duiveland,Zeeland,Netherlands,NL,51.6833,3.8167
Noord-Beveland,Zeeland,Netherlands,NL,51.5667,3.75
Borsele,Zeeland,Netherlands,NL,51.4333,3.8
Kapelle,Zeeland,Netherlands,NL,51.4833,3.95
Reimerswaal,Zeeland,Netherlands,NL,51.4333,4.1
Almere,Flevoland,Netherlands,NL,52.3508,5.2647
Lelystad,Flevoland,Netherlands,NL,52.5185,5.4714
Dronten,Flevoland,Netherlands,NL,52.525,5.7167
Zeewolde,Flevoland,Netherlands,NL,52.3333,5.5333
Urk,Flevoland,Netherlands,NL,52.6617,5.6
Noordoostpolder,Flevoland,Netherlands,NL,52.7167,5.75
Emmeloord,Flevoland,Netherlands,NL,52.71,5.7483
Brussel / Bruxelles,Brussels-Capital,Belgium,BE,50.8503,4.3517
Anderlecht,Brussels-Capital,Belgium,BE,50.8333,4.3167
Schaarbeek / Schaerbeek,Brussels-Capital,Belgium,BE,50.8667,4.3833
Etterbeek,Brussels-Capital,Belgium,BE,50.8333,4.3833
Elsene / Ixelles,Brussels-Capital,Belgium,BE,50.8333,4.3667
Vorst / Forest,Brussels-Capital,Belgium,BE,50.8167,4.3167
Sint-Jans-Molenbeek / Molenbeek-Saint-Jean,Brussels-Capital,Belgium,BE,50.85,4.3333
Sint-Gillis / Saint-Gilles,Brussels-Capital,Belgium,BE,50.8333,4.35
Ukkel / Uccle,Brussels-Capital,Belgium,BE,50.8,4.3333
Jette,Brussels-Capital,Belgium,BE,50.8833,4.3333
Koekelberg,Brussels-Capital,Belgium,BE,50.8667,4.3333
Sint-Agatha-Berchem / Berchem-Sainte-Agathe,Brussels-Capital,Belgium,BE,50.8667,4.2833
Ganshoren,Brussels-Capital,Belgium,BE,50.8833,4.3
Evere,Brussels-Capital,Belgium,BE,50.8667,4.4
Sint-Lambrechts-Woluwe / Woluwe-Saint-Lambert,Brussels-Capital,Belgium,BE,50.85,4.4333
Sint-Pieters-Woluwe / Woluwe-Saint-Pierre,Brussels-Capital,Belgium,BE,50.8333,4.4333
Oudergem / Auderghem,Brussels-Capital,Belgium,BE,50.8167,4.4333
Watermaal-Bosvoorde / Watermael-Boitsfort,Brussels-Capital,Belgium,BE,50.8,4.4167
Sint-Joost-ten-Node / Saint-Josse-ten-Noode,Brussels-Capital,Belgium,BE,50.85,4.3667
Antwerpen,Antwerpen,Belgium,BE,51.2194,4.4025
Mechelen,Antwerpen,Belgium,BE,51.0259,4.4776
Turnhout,Antwerpen,Belgium,BE,51.3222,4.9481
Lier,Antwerpen,Belgium,BE,51.1311,4.57
Herentals,Antwerpen,Belgium,BE,51.1767,4.8333
